,load,tput
0,0.1,0.10109811633607957
1,0.2,0.201745504566499
2,0.30000000000000004,0.28522810872892335
3,0.4,0.3631673941442495
4,0.5,0.3936346000721492
5,0.6,0.40259105863365574
6,0.7000000000000001,0.44802996832328706
7,0.8,0.4507007072744411
8,0.9,0.44113643996615187
9,1.0,0.43671201182040476
10,1.1,0.46875651424863535
11,1.2000000000000002,0.4241246813615235
12,1.3000000000000003,0.44978813114129074
13,1.4000000000000001,0.4583879847192941
14,1.5000000000000002,0.474541702332733
15,1.6,0.4911831559896541
16,1.7000000000000002,0.481819386644725
17,1.8000000000000003,0.47077573993389815
18,1.9000000000000001,0.47167624561271493
19,2.0,0.44972284357009223
20,2.1,0.48044109465964074
21,2.2,0.45393750887702505
22,2.3000000000000003,0.41619244803184435
23,2.4000000000000004,0.4942156448089511
24,2.5000000000000004,0.452018446375268
25,2.6,0.41548508912246396
26,2.7,0.4888275862068965
27,2.8000000000000003,0.40199343631133855
28,2.9000000000000004,0.4377149758454106
29,3.0000000000000004,0.5042588828795725
30,3.1,0.392457323378376
31,3.2,0.41439021504810986
32,3.3000000000000003,0.4240441665840778
33,3.4000000000000004,0.42384953655548624
34,3.5000000000000004,0.41101495504241503
35,3.6,0.3527321498254665
36,3.7,0.3697403447198171
37,3.8000000000000003,0.33847117794486214
38,3.9000000000000004,0.416312840925844
39,4.0,0.36067355889724306
40,4.1,0.362515357020001
41,4.2,0.313014460170033
42,4.3,0.35695387129210654
43,4.3999999999999995,0.28197012138188604
44,4.5,0.38665855816010614
45,4.6,0.35060520361990954
46,4.7,0.30513353992069164
47,4.8,0.3664936851933756
48,4.9,0.31819500674763834
49,5.0,0.35124404147623955
50,5.1,0.3589880952380953
51,5.2,0.3374572649572649
52,5.3,0.29466183326477446
53,5.4,0.29534965034965033
54,5.5,0.3029075091575092
55,5.6,0.3256728075845723
56,5.7,0.25910256410256416
57,5.8,0.2884032634032634
58,5.9,0.33724664224664225
59,6.0,0.2627489177489178
60,6.1,0.3103508991008991
61,6.2,0.2203021978021978
62,6.3,0.22732101232101232
63,6.4,0.2582933732933733
64,6.5,0.3156610056610057
65,6.6,0.31148129648129647
66,6.7,0.3112898212898213
67,6.8,0.3186557886557887
68,6.9,0.2881196581196581
69,7.0,0.3126118326118326
70,7.1,0.26401515151515154
71,7.2,0.23679487179487174
72,7.3,0.25964368964368967
73,7.4,0.2501443001443001
74,7.5,0.22705128205128206
75,7.6,0.30308080808080806
76,7.7,0.20289682539682544
77,7.8,0.20665945165945168
78,7.9,0.17512626262626263
79,8.0,0.22489898989898993
80,8.1,0.24416666666666664
81,8.2,0.24171717171717177
82,8.3,0.18723776223776223
83,8.4,0.20099261849261846
84,8.5,0.22756132756132758
85,8.6,0.16484126984126984
86,8.7,0.1816880341880342
87,8.8,0.2583116883116883
88,8.9,0.22249999999999998
89,9.0,0.2164393939393939
90,9.1,0.23949494949494948
91,9.2,0.1547222222222222
92,9.3,0.19449494949494947
93,9.4,0.1845454545454545
94,9.5,0.20206349206349206
95,9.6,0.22817460317460317
96,9.700000000000001,0.20120490620490622
97,9.8,0.18222222222222223
98,9.9,0.15266233766233767
