,load,tput
0,0.1,0.09141372541020032
1,0.2,0.166795994260514
2,0.30000000000000004,0.22635358378455947
3,0.4,0.26621901001194453
4,0.5,0.31008052204659353
5,0.6,0.3196981327232433
6,0.7000000000000001,0.3366907328946616
7,0.8,0.361736914143426
8,0.9,0.3693366711945063
9,1.0,0.3664859454695065
10,1.1,0.37270984688889736
11,1.2000000000000002,0.3542461880445197
12,1.3000000000000003,0.35075615205811356
13,1.4000000000000001,0.3503193706758638
14,1.5000000000000002,0.3191427222371994
15,1.6,0.3244273860118171
16,1.7000000000000002,0.29470027579889424
17,1.8000000000000003,0.2931726977245005
18,1.9000000000000001,0.26724492396909477
19,2.0,0.26067922359299567
20,2.1,0.258741495300609
21,2.2,0.236630237239777
22,2.3000000000000003,0.23242736969376931
23,2.4000000000000004,0.22988481367766705
24,2.5000000000000004,0.2080101138381975
25,2.6,0.2046924407834494
26,2.7,0.2050681117209129
27,2.8000000000000003,0.15892918143551027
28,2.9000000000000004,0.1522980233096106
29,3.0000000000000004,0.13407799131119247
30,3.1,0.12289542215949494
31,3.2,0.12999836256951341
32,3.3000000000000003,0.12392489198537368
33,3.4000000000000004,0.10812843207937346
34,3.5000000000000004,0.09385750244749218
35,3.6,0.08965545161772977
36,3.7,0.10386762844444848
37,3.8000000000000003,0.08566561432966385
38,3.9000000000000004,0.09330025087356394
39,4.0,0.07358761286262208
40,4.1,0.041129521814518344
41,4.2,0.06004757981489063
42,4.3,0.06218468429497766
43,4.3999999999999995,0.052374713100146665
44,4.5,0.04982545489583278
45,4.6,0.03824586178197679
46,4.7,0.03909194909787826
47,4.8,0.03943767496852454
48,4.9,0.03555371107910636
49,5.0,0.03762105869344023
50,5.1,0.031635214284536875
51,5.2,0.028540165042259702
52,5.3,0.02731484180232848
53,5.4,0.021441900970931356
54,5.5,0.022029178595614835
55,5.6,0.024756915193249695
56,5.7,0.03125389750997093
57,5.8,0.012066218301603215
58,5.9,0.014570202820268514
59,6.0,0.006969424274185393
60,6.1,0.009469291233391625
61,6.2,0.011817145471588611
62,6.3,0.014099299499573798
63,6.4,0.011216010331476433
64,6.5,0.014735796853194422
65,6.6,0.0034492924528301883
66,6.7,0.007790322827066751
67,6.8,0.006850819382241221
68,6.9,0.011893375848438885
69,7.0,0.01354917358524052
70,7.1,0.00489675951653237
71,7.2,0.010630067036973714
72,7.3,0.008842447463137119
73,7.4,0.0037412587412587414
74,7.5,0.006227096546863989
75,7.6,0.0038926681783824635
76,7.7,0.002127659574468085
77,7.8,0.005664488017429194
78,7.9,0.0037464985994397756
79,8.0,0.004088443888193576
80,8.1,0.005556826122863859
81,8.2,0.004001600640256102
82,8.3,0.0018181818181818182
83,8.4,0.0019230769230769232
84,8.5,0.002
85,8.6,0.0
86,8.7,0.002325581395348837
87,8.8,0.0022727272727272726
88,8.9,0.0
89,9.0,0.0
90,9.1,0.0020833333333333333
91,9.2,0.0
92,9.3,0.0
93,9.4,0.0040408163265306125
94,9.5,0.0
95,9.6,0.0
96,9.700000000000001,0.002127659574468085
97,9.8,0.0
98,9.9,0.0
