,age,delay,load,tput
0,16.526093768907845,1.15867862828605,0.1,0.10149750415973378
1,13.93570155162253,1.452271623773506,0.1375,0.13422074320576816
2,11.451283984898675,1.9224118834001411,0.175,0.18635607321131445
3,10.76740187505483,4.323269437817299,0.2125,0.23349972268441488
4,14.414050379815592,10.297436301288498,0.25,0.25734886300610094
5,15.152427013335066,10.007431980546377,0.2875,0.28175263449805876
6,17.16720471145796,14.356224001352194,0.32499999999999996,0.3033832501386578
7,33.27897349181495,32.59723253246887,0.36250000000000004,0.324459234608985
8,50.09986525204269,44.57044670350107,0.4,0.32556849694952855
9,83.23547912313386,81.44326064265222,0.4375,0.2983915696062118
10,88.0529571468809,89.73414276133035,0.475,0.2928452579034942
11,99.4106974291869,98.29325190285219,0.5125,0.27343316694398223
12,95.5811135680719,84.92346475406204,0.5499999999999999,0.2861896838602329
13,121.68235079469041,121.05282278617314,0.5875,0.27121464226289516
14,113.35995989414202,115.21827842630084,0.625,0.2490293954520244
15,121.43723471155253,125.01659780428223,0.6625,0.252357182473655
16,140.42567803542855,140.10261425610528,0.7,0.266777592900721
17,148.96624207237713,154.7170020920156,0.7374999999999999,0.24459234608985025
18,150.69209976166812,153.93513782743764,0.7749999999999999,0.2473655019412091
19,169.1074648864297,177.5469064080163,0.8125,0.24292845257903495
20,165.7736900577246,168.74616721054284,0.85,0.2384914032168608
21,178.31277644197027,200.87183326873762,0.8875,0.2296173044925125
22,155.46651927054722,165.46539430160533,0.9249999999999999,0.23571824736550195
23,175.62682615174745,181.29016467791766,0.9624999999999999,0.24459234608985025
24,180.85214945313774,182.97916954715504,1.0,0.24237382140876318
