i,timestamp,t_time,collisions
1,3.8452218381668493,4,0
1,5.450461397116995,6,0
1,6.069390855729964,7,0
1,7.585926832610115,10,2
1,7.711801244440657,12,1
1,8.73323313083273,14,1
1,8.887962813560375,15,0
1,11.782383263251901,16,0
1,12.52021054156296,17,0
1,13.055776259863716,18,0
1,13.36305661295417,19,0
1,14.851311451680905,20,0
1,15.46039386798399,21,0
1,16.300728574851604,22,0
1,16.319697146513988,24,1
1,17.281078075708848,25,0
1,18.228074753552626,26,0
1,19.187622726281862,27,0
1,22.065537805022885,28,0
1,23.210676763673263,29,0
1,23.35625073708265,31,1
1,23.71047486665906,32,0
1,24.554363337262618,33,0
1,25.448092411389922,34,0
1,26.30217213066546,35,0
1,27.36118152880725,36,0
1,28.417031124933178,37,0
1,28.98164162772487,38,0
1,31.250275596832232,39,0
1,31.708448478254756,42,2
1,32.28091004020311,43,0
1,34.505824667980995,44,0
1,36.1467222317134,45,0
1,37.36374172023658,46,0
1,37.46935436468987,47,0
1,38.406493077980215,48,0
1,39.314457089152654,49,0
1,40.84528830279702,50,0
1,41.53848808019876,52,1
1,41.59017098390316,53,0
1,42.79114188086003,54,0
1,47.670275194329,55,0
1,47.981243004588435,56,0
1,49.117839491966535,58,1
1,51.11501146096126,59,0
1,52.50468851946998,60,0
1,55.84262291221776,61,0
1,56.650602963393574,62,0
1,56.889355832314166,63,0
1,57.14095444661229,64,0
1,57.22806303062676,65,0
1,58.03145478986969,66,0
1,58.90966986044057,67,0
1,62.17816613093124,72,2
1,62.52368570910786,73,0
1,62.79921364972599,74,0
1,62.90490082124725,75,0
1,62.921466913959904,76,0
1,65.57402541063365,77,0
1,66.68243517800788,78,0
1,68.22026390061063,79,0
1,68.55117378389761,80,0
1,69.43405431974179,81,0
1,69.50014633078257,82,0
1,70.16495408512058,83,0
1,70.61010342440365,84,0
1,71.12009424723973,85,0
1,71.47938815471083,86,0
1,72.97202029759805,87,0
1,75.57859206596518,88,0
1,75.97209447112111,89,0
1,79.02695427591149,90,0
1,79.041000864879,91,0
1,79.80342456090104,92,0
1,80.16666678037278,93,0
1,82.31105224199352,94,0
1,82.5995649529218,95,0
1,83.73094373604803,96,0
1,85.39390949688953,97,0
1,85.95980404240206,98,0
1,88.10290376232112,99,0
1,88.77313563547523,100,0
1,89.30853999877903,101,0
1,89.49983604880987,102,0
1,90.14474453515317,103,0
1,91.67559294201425,104,0
1,92.48849130494273,106,1
1,92.66268646896343,107,0
1,92.81797205251159,108,0
1,93.86626115207638,109,0
1,94.64110353265335,110,0
1,95.03516110445032,111,0
1,95.19417312550934,112,0
1,95.36837184264343,113,0
1,95.50695866377967,114,0
1,96.1000402523742,115,0
1,97.40087770220987,116,0
1,98.75659621702255,117,0
1,99.12330137575114,118,0
1,99.25087495044018,119,0
1,99.83764374975773,120,0
1,100.33485303017552,121,0
1,101.0938177939439,122,0
1,102.96045824732249,123,0
1,103.72892083964426,124,0
1,104.86919970140757,125,0
1,105.80870169635564,126,0
