,delay,load,tput
0,0.8293482859304953,0.1,0.07044734061289186
1,3.0172003595804653,0.2,0.1702127659574468
2,5.252098868197413,0.30000000000000004,0.24875621890547264
3,42.69200123885564,0.4,0.2861230329041488
4,84.25610586021492,0.5,0.2884012539184953
5,47.297283702728755,0.6,0.33697632058287796
6,78.45827207377218,0.7000000000000001,0.3698630136986301
7,56.38650622314223,0.8,0.43490304709141275
8,64.2942010827066,0.9,0.40189873417721517
9,64.2479283231595,1.0,0.4421052631578947
10,38.25743869806372,1.1,0.40865384615384615
11,69.08549887025974,1.2000000000000002,0.45195729537366547
12,61.85092649492322,1.3000000000000003,0.5084745762711864
13,38.927290687868265,1.4000000000000001,0.4816753926701571
14,43.87198083657793,1.5000000000000002,0.4619883040935672
15,44.21538749518722,1.6,0.4397590361445783
16,52.089191583597035,1.7000000000000002,0.4739583333333333
17,23.15563718840748,1.8000000000000003,0.47651006711409394
18,34.72801926510628,1.9000000000000001,0.3442622950819672
19,41.46358330981642,2.0,0.4460431654676259
20,34.09009937713999,2.1,0.616
21,39.647058945322925,2.2,0.5703125
22,19.229153203827178,2.3000000000000003,0.4205607476635514
23,29.83535861318179,2.4000000000000004,0.4144144144144144
24,35.89919930312725,2.5000000000000004,0.4
25,29.327909654286366,2.6,0.4444444444444444
26,35.448288228732835,2.7,0.5242718446601942
27,35.057281898748926,2.8000000000000003,0.40425531914893614
28,41.380496344493885,2.9000000000000004,0.4895833333333333
29,26.43341884693078,3.0000000000000004,0.46987951807228917
30,30.728645855037954,3.1,0.4845360824742268
31,29.45661373616259,3.2,0.42045454545454547
32,26.818989423699303,3.3000000000000003,0.40789473684210525
33,28.529399223429582,3.4000000000000004,0.5060240963855421
34,23.462749849852642,3.5000000000000004,0.40476190476190477
35,33.81136225081025,3.6,0.4819277108433735
36,32.83258555282651,3.7,0.45121951219512196
37,26.284830672811797,3.8000000000000003,0.3561643835616438
38,28.019412594210674,3.9000000000000004,0.4027777777777778
39,26.810891964468325,4.0,0.45714285714285713
40,24.461926661083805,4.1,0.45588235294117646
41,15.903630785560464,4.2,0.45454545454545453
42,17.679568821605724,4.3,0.4925373134328358
43,29.446817967576596,4.3999999999999995,0.4714285714285714
44,16.36168318972021,4.5,0.3484848484848485
45,30.722933227987898,4.6,0.3050847457627119
46,21.11056604436006,4.7,0.44285714285714284
47,18.288690462601522,4.8,0.3684210526315789
48,12.000054366719716,4.9,0.46551724137931033
49,17.5413728191703,5.0,0.43548387096774194
50,29.42787933739894,5.1,0.5081967213114754
51,27.105363669508037,5.2,0.29411764705882354
52,26.582709229943447,5.3,0.3018867924528302
53,23.82532909172279,5.4,0.36923076923076925
54,19.477057468002226,5.5,0.32558139534883723
55,23.651526161766835,5.6,0.38
56,23.179908243627136,5.7,0.2727272727272727
57,22.170198306805805,5.8,0.3023255813953488
58,20.979358783719057,5.9,0.4032258064516129
59,22.130388900009503,6.0,0.46938775510204084
60,14.399338022310928,6.1,0.3953488372093023
61,21.921270592035814,6.2,0.2564102564102564
62,12.811585716759256,6.3,0.4897959183673469
63,23.65371138584891,6.4,0.3617021276595745
64,20.96253513776907,6.5,0.36
65,22.349292715233144,6.6,0.40425531914893614
66,17.761758479872203,6.7,0.35714285714285715
67,24.048630295266097,6.8,0.2653061224489796
68,10.746445238329905,6.9,0.35714285714285715
69,21.604979587864552,7.0,0.42857142857142855
70,26.292170015897455,7.1,0.3191489361702128
71,23.69065285545035,7.2,0.37777777777777777
72,23.952831887463116,7.3,0.34782608695652173
73,16.23804070792912,7.4,0.425
74,16.605813479540917,7.5,0.35294117647058826
75,22.259314085082575,7.6,0.4166666666666667
76,22.532094430419768,7.7,0.25
77,15.088828101989687,7.8,0.3939393939393939
78,17.14984093751564,7.9,0.41025641025641024
79,17.633920524183175,8.0,0.3783783783783784
80,17.781106461060723,8.1,0.21875
81,12.242562518799778,8.2,0.41935483870967744
82,23.792881519917888,8.3,0.23529411764705882
83,14.209448893191327,8.4,0.2903225806451613
84,21.595100125277707,8.5,0.25
85,17.229603871011662,8.6,0.25
86,17.252524349655662,8.7,0.3125
87,15.507630633763991,8.8,0.2647058823529412
88,16.42434473148593,8.9,0.35294117647058826
89,16.124576687984753,9.0,0.35135135135135137
90,17.855322139476957,9.1,0.3888888888888889
91,16.74763362660902,9.2,0.17647058823529413
92,13.209724126516058,9.3,0.26666666666666666
93,20.836875314894904,9.4,0.15151515151515152
94,12.66332634749634,9.5,0.13793103448275862
95,14.380442480870599,9.6,0.21428571428571427
96,16.903280154841532,9.700000000000001,0.22580645161290322
97,14.29510480598392,9.8,0.18518518518518517
98,15.382846812951684,9.9,0.25
